timestamp_secs,stage,hits_per_signal,total_hits,vm_rss_kb,vm_rss_mb,latency_micros
1788216127,rrf_fusion,1000,4000,12804,12.50,2715.11
1788216138,rrf_fusion,10000,40000,93808,91.61,71269.57
1788216156,rrf_fusion,100000,400000,790512,771.98,946532.52
1788216237,rrf_fusion,500000,2000000,3950744,3858.15,5413897.77
1788339980,rrf_fusion,1000,4000,12432,12.14,2822.93
1788339980,rrf_fusion,10000,40000,93240,91.05,64948.60
1788339989,rrf_fusion,100000,400000,827492,808.10,1074720.21
1788340054,rrf_fusion,500000,2000000,3937084,3844.81,6264938.75
1788392056,rrf_fusion,1000,4000,15624,15.26,6669.05
1788392057,rrf_fusion,10000,40000,133164,130.04,157655.61
1788392069,rrf_fusion,100000,400000,937312,915.34,1788844.89
1788392166,rrf_fusion,500000,2000000,4950080,4834.06,11145443.70
1788532897,rrf_fusion,1000,4000,15368,15.01,6523.46
1788532898,rrf_fusion,10000,40000,133168,130.05,148222.14
1788532914,rrf_fusion,100000,400000,996908,973.54,2454037.83
1788533018,rrf_fusion,500000,2000000,4952972,4836.89,9387297.02
